"fecha";"Run Fondo";"serie fondo";"intervalo_de_tiempo";"rentabilidad_acumulada"
2023-02-18;"8976";APV-AP;"3M";0.027217814230348303
2023-02-18;"8976";APV-AP;"6M";0.05380685382846706
2023-02-18;"8976";APV-AP;"1Y";0.09133324708731294
2023-02-18;"8976";APV-AP;YTD;0.01469823705649742
2023-02-19;"8976";APV-AP;"1M";0.009087508467897853
2023-02-19;"8976";APV-AP;"3M";0.027217617244428283
2023-02-19;"8976";APV-AP;"6M";0.053841986237196604
2023-02-19;"8976";APV-AP;"1Y";0.0915141828726278
2023-02-19;"8976";APV-AP;YTD;0.01499433629494118
2023-02-20;"8976";APV-AP;"1M";0.009087423615200318
2023-02-20;"8976";APV-AP;"3M";0.02721760956632746
2023-02-20;"8976";APV-AP;"6M";0.05387699442868521
2023-02-20;"8976";APV-AP;"1Y";0.09169495570128738
2023-02-20;"8976";APV-AP;YTD;0.015290527776138596
2023-02-21;"8976";APV-AP;"1M";0.009084129311662581
2023-02-21;"8976";APV-AP;"3M";0.027214427182445267
2023-02-21;"8976";APV-AP;"6M";0.053909027409442256
2023-02-21;"8976";APV-AP;"1Y";0.09187230196795748
2023-02-21;"8976";APV-AP;YTD;0.015583675246473305
2023-02-22;"8976";APV-AP;"1M";0.00908129589129425
2023-02-22;"8976";APV-AP;"3M";0.02721152393264359
2023-02-22;"8976";APV-AP;"6M";0.053941224922434916
2023-02-22;"8976";APV-AP;"1Y";0.09204956695155886
2023-02-22;"8976";APV-AP;YTD;0.015877191687821535
2023-02-23;"8976";APV-AP;"1M";0.0090780052973507
2023-02-23;"8976";APV-AP;"3M";0.027208249397546735
2023-02-23;"8976";APV-AP;"6M";0.053973023103715434
2023-02-23;"8976";APV-AP;"1Y";0.09222563242682957
2023-02-23;"8976";APV-AP;YTD;0.016170339158156244
2023-02-24;"8976";APV-AP;"1M";0.009074807364092274
2023-02-24;"8976";APV-AP;"3M";0.027204971700096392
2023-02-24;"8976";APV-AP;"6M";0.05400489534502384
2023-02-24;"8976";APV-AP;"1Y";0.09240163475972074
2023-02-24;"8976";APV-AP;YTD;0.016463671113997602
2023-02-25;"8976";APV-AP;"1M";0.009071702841792817
2023-02-25;"8976";APV-AP;"3M";0.027201597654587406
2023-02-25;"8976";APV-AP;"6M";0.054036846747096856
2023-02-25;"8976";APV-AP;"1Y";0.09257779964175628
2023-02-25;"8976";APV-AP;YTD;0.016757095312592618
2023-02-26;"8976";APV-AP;"1M";0.009069147582860593
2023-02-26;"8976";APV-AP;"3M";0.027198875185942883
2023-02-26;"8976";APV-AP;"6M";0.0540693449114058
2023-02-26;"8976";APV-AP;"1Y";0.0927546042215388
2023-02-26;"8976";APV-AP;YTD;0.017051257453214896
2023-02-27;"8976";APV-AP;"1M";0.009066226187123938
2023-02-27;"8976";APV-AP;"3M";0.02719606370311345
2023-02-27;"8976";APV-AP;"6M";0.05410143364116071
2023-02-27;"8976";APV-AP;"1Y";0.09293019079952747
2023-02-27;"8976";APV-AP;YTD;0.017345235108330304
2023-02-28;"8976";APV-AP;"1M";0.009063854459537168
2023-02-28;"8976";APV-AP;"3M";0.02719371433993123
2023-02-28;"8976";APV-AP;"6M";0.05413437608509941
2023-02-28;"8976";APV-AP;"1Y";0.09310653420941595
2023-02-28;"8976";APV-AP;YTD;0.017639858462719538
2023-03-01;"8976";APV-AP;"1M";0.008178065415570313
2023-03-01;"8976";APV-AP;"3M";0.02659157131834844
2023-03-01;"8976";APV-AP;"6M";0.053346256225482724
2023-03-01;"8976";APV-AP;"1Y";0.09328223798194002
2023-03-01;"8976";APV-AP;YTD;0.01793392836058838
2023-03-02;"8976";APV-AP;"1M";0.008174949098365802
2023-03-02;"8976";APV-AP;"3M";0.02658827498876648
2023-03-02;"8976";APV-AP;"6M";0.053376375960664024
2023-03-02;"8976";APV-AP;"1Y";0.09345076643613481
2023-03-02;"8976";APV-AP;YTD;0.018227813772950352
2023-03-03;"8976";APV-AP;"1M";0.008171833106515702
2023-03-03;"8976";APV-AP;"3M";0.026584975639218023
2023-03-03;"8976";APV-AP;"6M";0.05340646984516639
2023-03-03;"8976";APV-AP;"1Y";0.09362659657476002
2023-03-03;"8976";APV-AP;YTD;0.018521883670819195
2023-03-04;"8976";APV-AP;"1M";0.008168534138339067
2023-03-04;"8976";APV-AP;"3M";0.026581961994433412
2023-03-04;"8976";APV-AP;"6M";0.053436743926399854
2023-03-04;"8976";APV-AP;"1Y";0.09380280571497868
2023-03-04;"8976";APV-AP;YTD;0.018816045811441473
2023-03-05;"8976";APV-AP;"1M";0.008165604339950727
2023-03-05;"8976";APV-AP;"3M";0.02657885224896006
2023-03-05;"8976";APV-AP;"6M";0.05346699717108372
2023-03-05;"8976";APV-AP;"1Y";0.09397906889330887
2023-03-05;"8976";APV-AP;YTD;0.019110300194816965
2023-03-06;"8976";APV-AP;"1M";0.008162401084196746
2023-03-06;"8976";APV-AP;"3M";0.026575556065634665
2023-03-06;"8976";APV-AP;"6M";0.05349543209495344
2023-03-06;"8976";APV-AP;"1Y";0.0941548630895952
2023-03-06;"8976";APV-AP;YTD;0.01940446233543902
2023-03-07;"8976";APV-AP;"1M";0.008161387725925895
2023-03-07;"8976";APV-AP;"3M";0.026574488086548165
2023-03-07;"8976";APV-AP;"6M";0.053522519784515055
2023-03-07;"8976";APV-AP;"1Y";0.0943321121771552
2023-03-07;"8976";APV-AP;YTD;0.019700930544896522
2023-03-08;"8976";APV-AP;"1M";0.008158094907964708
2023-03-08;"8976";APV-AP;"3M";0.026571192631677842
2023-03-08;"8976";APV-AP;"6M";0.05354369284470217
2023-03-08;"8976";APV-AP;"1Y";0.09450856510225059
2023-03-08;"8976";APV-AP;YTD;0.019995184928272236
2023-03-09;"8976";APV-AP;"1M";0.008154620976192017
2023-03-09;"8976";APV-AP;"3M";0.02656752046004285
2023-03-09;"8976";APV-AP;"6M";0.05356465893811868
2023-03-09;"8976";APV-AP;"1Y";0.09467642372107954
2023-03-09;"8976";APV-AP;YTD;0.020289347068894514
2023-03-10;"8976";APV-AP;"1M";0.008151330566350534
2023-03-10;"8976";APV-AP;"3M";0.026564033533355902
2023-03-10;"8976";APV-AP;"6M";0.05358569879932107
2023-03-10;"8976";APV-AP;"1Y";0.09484453389061986
2023-03-10;"8976";APV-AP;YTD;0.020583785937776877
2023-03-11;"8976";APV-AP;"1M";0.008147948756838108
2023-03-11;"8976";APV-AP;"3M";0.026560829373958317
2023-03-11;"8976";APV-AP;"6M";0.053603607763230254
2023-03-11;"8976";APV-AP;"1Y";0.09501268822583353
2023-03-11;"8976";APV-AP;YTD;0.020878409292166333
2023-03-12;"8976";APV-AP;"1M";0.00814456966308974
2023-03-12;"8976";APV-AP;"3M";0.02655743916250053
2023-03-12;"8976";APV-AP;"6M";0.053621211273300995
2023-03-12;"8976";APV-AP;"1Y";0.09518069821918962
2023-03-12;"8976";APV-AP;YTD;0.021172940403802132
2023-03-13;"8976";APV-AP;"1M";0.008141283579972347
2023-03-13;"8976";APV-AP;"3M";0.026554048466874924
2023-03-13;"8976";APV-AP;"6M";0.053637095841899685
2023-03-13;"8976";APV-AP;"1Y";0.09534876175821827
2023-03-13;"8976";APV-AP;YTD;0.021467563758191588
2023-03-14;"8976";APV-AP;"1M";0.008138088944778632
2023-03-14;"8976";APV-AP;"3M";0.026550937774173944
2023-03-14;"8976";APV-AP;"6M";0.05365325709385149
2023-03-14;"8976";APV-AP;"1Y";0.09551707662358977
2023-03-14;"8976";APV-AP;YTD;0.02176246384084113
2023-03-15;"8976";APV-AP;"1M";0.008134987159569285
2023-03-15;"8976";APV-AP;"3M";0.026547731328183888
2023-03-15;"8976";APV-AP;"6M";0.05366930421170801
2023-03-15;"8976";APV-AP;"1Y";0.09568544493787368
2023-03-15;"8976";APV-AP;YTD;0.022057456166244105
2023-03-16;"8976";APV-AP;"1M";0.00813397851641473
2023-03-16;"8976";APV-AP;"3M";0.02654655949679463
